Group,Mean_Abs_SHAP
SVD / MRI Markers,0.14189045562996166
Cognitive Function,0.12016527400733244
Demographics,0.11752311336229444
Lifestyle & Vascular Risk,0.08490467071791183
Study Cohort,0.03403689696217906
